poem_id	gpt-3.5-turbo	gpt-4	gpt-4-turbo	gpt-4o	gpt-4o-mini	mistral-small	call_type	mistral-medium
0027							continuation	3100.1534461975098
0027							author	490.18216133117676
0028							humor	3730.50594329834
0028							continuation	1028.8136005401611
0028							author	668.1928634643555
0029							humor	4264.2271518707275
0029							continuation	2774.096727371216
0029							author	482.64455795288086
0030							humor	6758.634328842163
0030							continuation	1594.6869850158691
0030							author	510.99681854248047
0031							humor	11336.315393447876
0031							continuation	4720.232963562012
0031							author	542.7143573760986
0032							humor	4928.884029388428
0032							continuation	2385.6406211853027
0032							author	4341.526508331299
0033							humor	4402.169227600098
0033							continuation	1670.1619625091553
0033							author	1143.1655883789062
0034							humor	5762.948274612427
0034							continuation	6117.794036865234
0034							author	484.35401916503906
0035							humor	4847.068548202515
0035							continuation	3795.7091331481934
0035							author	1120.4063892364502
0036							humor	4888.850927352905
0036							continuation	1902.0462036132812
0036							author	563.5678768157959
0037							humor	5788.910150527954
0037							continuation	4652.312755584717
0037							author	533.7691307067871
0038							humor	4690.076112747192
0038							continuation	1800.037145614624
0038							author	643.1624889373779
0039							humor	4993.940353393555
0039							continuation	4774.256944656372
0039							author	523.9284038543701
0040							humor	4457.511901855469
0040							continuation	1672.316551208496
0040							author	571.4380741119385
0041							humor	4657.124757766724
0041							continuation	1485.1937294006348
0041							author	1276.5626907348633
0042							humor	4934.163808822632
0042							continuation	2731.621265411377
0042							author	517.7428722381592
0043							humor	5107.7399253845215
0043							continuation	2450.4599571228027
0043							author	9603.68824005127
0044							humor	3968.879461288452
0044							continuation	2112.5848293304443
0044							author	657.984733581543
0045							humor	3738.1880283355713
0045							continuation	1457.1106433868408
0045							author	529.11376953125
0046							humor	4217.515468597412
0046							continuation	2010.3585720062256
0046							author	502.8493404388428
0047							humor	4695.15585899353
0047							continuation	2798.5360622406006
0047							author	519.9699401855469
0048							humor	5688.861608505249
0048							continuation	2741.600513458252
0048							author	666.1572456359863
0049							humor	6586.276054382324
0049							continuation	2217.5540924072266
0049							author	485.54539680480957
0050							humor	5084.895133972168
0050							continuation	4168.321847915649
0050							author	635.1134777069092
0051							humor	3971.9173908233643
0051							continuation	2151.0632038116455
0051							author	815.9770965576172
0052							humor	4545.428991317749
0052							continuation	3462.6801013946533
0052							author	961.0648155212402
0053							humor	5049.846172332764
0053							continuation	2264.000654220581
0053							author	627.0022392272949
0054							humor	4295.0615882873535
0054							continuation	2723.794937133789
0054							author	454.8184871673584
0055							humor	8697.295427322388
0055							continuation	1570.1818466186523
0055							author	664.3345355987549
0056							humor	4199.664115905762
0056							continuation	2181.5245151519775
0056							author	625.6206035614014
0057							humor	5704.6332359313965
0057							continuation	1257.0545673370361
0057							author	519.9081897735596
0058							humor	4617.780685424805
0058							continuation	1460.792064666748
0058							author	3196.0644721984863
0059							humor	3665.093421936035
0059							continuation	2009.927749633789
0059							author	1003.7295818328857
0060							humor	8959.74063873291
0060							continuation	1902.8780460357666
0060							author	637.5231742858887
0061							humor	8690.242290496826
0061							continuation	1459.580421447754
0061							author	561.553955078125
0062							humor	4214.462518692017
0062							continuation	1432.4681758880615
0062							author	492.9013252258301
0063							humor	6171.100378036499
0063							continuation	2925.478458404541
0063							author	922.4166870117188
0064							humor	4550.1868724823
0064							continuation	40674.30090904236
0064							author	2862.4463081359863
0065							humor	4864.527225494385
0065							continuation	2276.2703895568848
0065							author	455.2600383758545
0066							humor	4139.411926269531
0066							continuation	2707.9219818115234
0066							author	435.06908416748047
0067							humor	5150.930643081665
0067							continuation	2102.630853652954
0067							author	526.3066291809082
0068							humor	4503.6821365356445
0068							continuation	2362.946033477783
0068							author	602.1082401275635
0069							humor	5405.204772949219
0069							continuation	5616.095542907715
0069							author	583.6648941040039
0070							humor	5382.797479629517
0070							continuation	1533.8051319122314
0070							author	545.9034442901611
0071							humor	4626.7993450164795
0071							continuation	4395.6298828125
0071							author	486.8793487548828
0072							humor	9436.062097549438
0072							continuation	1732.8364849090576
0072							author	518.1093215942383
0073							humor	5123.056888580322
0073							continuation	2134.211540222168
0073							author	626.6608238220215
0074							humor	4661.102533340454
0074							continuation	4058.7010383605957
0074							author	532.4597358703613
0075							humor	4527.750253677368
0075							continuation	2009.0343952178955
0075							author	470.41821479797363
0076							humor	4287.970304489136
0076							continuation	3522.873878479004
0076							author	468.1260585784912
0077							humor	4511.216878890991
0077							continuation	2018.7609195709229
0077							author	510.2095603942871
0078							humor	7065.828561782837
0078							continuation	2433.8972568511963
0078							author	859.184980392456
0079							humor	4827.306747436523
0079							continuation	2045.1669692993164
0079							author	570.5156326293945
0080							humor	4683.513164520264
0080							continuation	2575.770854949951
0080							author	493.0989742279053
0081							humor	4183.146238327026
0081							continuation	1697.5677013397217
0081							author	510.15472412109375
0082							humor	4078.968286514282
0082							continuation	4983.813524246216
0082							author	483.58988761901855
0083							humor	5666.780710220337
0083							continuation	1574.5604038238525
0083							author	1216.6261672973633
0084							humor	3572.3202228546143
0084							continuation	2647.5443840026855
0084							author	577.5465965270996
0085							humor	4343.557834625244
0085							continuation	1333.9931964874268
0085							author	533.3657264709473
0086							humor	4001.288414001465
0086							continuation	3162.546396255493
0086							author	830.1372528076172
0087							humor	10492.479801177979
0087							continuation	1872.5364208221436
0087							author	534.578800201416
0088							humor	5081.044435501099
0088							continuation	2055.219888687134
0088							author	507.4777603149414
0089							humor	6599.0118980407715
0089							continuation	1468.489646911621
0089							author	3390.805721282959
0090							humor	4759.063482284546
0090							continuation	1649.7814655303955
0090							author	440.8144950866699
0091							humor	5096.1408615112305
0091							continuation	10481.196165084839
0091							author	1098.1476306915283
0092							humor	5665.08674621582
0092							continuation	4079.26344871521
0092							author	613.671064376831
0093							humor	4425.563335418701
0093							continuation	2451.2128829956055
0093							author	471.7419147491455
0094							humor	4615.851163864136
0094							continuation	2449.126720428467
0094							author	477.9787063598633
0095							humor	8540.616512298584
0095							continuation	5339.691877365112
0095							author	596.0736274719238
0096							humor	4809.380292892456
0096							continuation	2327.7599811553955
0096							author	4174.348831176758
0097							humor	4214.355230331421
0097							continuation	1477.6885509490967
0097							author	513.26584815979
0098							humor	21469.854593276978
0098							continuation	2525.8491039276123
0098							author	914.5872592926025
0099							humor	5324.790477752686
0099							continuation	1564.5155906677246
0099							author	707.3800563812256
0100							humor	8652.483224868774
0100							continuation	2549.3884086608887
0100							author	515.2251720428467
